,Hunger,Potter,Twilight
0,False,True,False
1,False,True,True
2,False,False,False
3,False,True,False
4,False,False,False
5,True,True,False
6,False,True,False
7,False,True,True
8,False,True,False
9,False,True,False
10,False,True,False
11,False,True,False
12,False,False,False
13,False,False,True
14,False,False,False
15,False,True,False
16,False,False,False
17,False,False,False
18,False,False,False
19,True,False,False
20,False,True,False
21,False,True,False
22,False,True,False
23,False,False,False
24,False,False,False
25,False,True,False
26,False,True,False
27,False,False,False
28,False,False,False
29,False,False,False
30,False,True,False
31,False,True,False
32,False,False,False
33,False,False,False
34,False,True,True
35,False,True,False
36,True,True,True
37,False,True,False
38,False,False,True
39,False,True,False
40,False,False,False
41,False,False,False
42,False,True,False
43,False,False,False
44,False,False,False
45,False,False,False
46,False,False,False
47,False,True,False
48,False,False,False
49,False,False,False
50,True,True,False
51,False,True,False
52,False,True,False
53,False,True,False
54,False,False,False
55,False,True,False
56,False,False,False
57,False,True,False
58,False,True,False
59,False,True,False
60,True,False,False
61,False,True,False
62,False,False,False
63,False,False,False
64,False,False,False
65,False,True,False
66,False,False,False
67,False,True,False
68,False,False,False
69,False,True,False
70,False,True,False
71,False,False,False
72,True,True,True
73,False,True,False
74,False,True,False
75,False,False,False
76,False,True,False
77,False,True,False
78,False,True,False
79,False,False,False
80,False,False,False
81,False,True,False
82,False,False,False
83,True,False,False
84,False,True,True
85,True,True,False
86,False,False,True
87,False,True,False
88,False,False,False
89,True,False,False
90,False,False,False
91,False,False,False
92,False,True,True
93,False,True,False
94,False,True,False
95,False,False,False
96,False,False,False
97,False,False,False
98,False,False,False
99,False,False,False
100,False,True,False
101,False,True,False
102,False,True,False
103,False,False,False
104,True,True,False
105,False,True,False
106,False,False,False
107,False,False,False
108,False,False,True
109,False,True,False
110,False,False,False
111,False,True,False
112,False,True,False
113,False,False,False
114,False,True,False
115,False,True,False
116,False,True,False
117,False,True,False
118,False,False,False
119,False,False,False
120,False,True,False
121,False,False,False
122,False,False,False
123,False,True,False
124,False,True,False
125,False,True,False
126,False,True,False
127,False,False,False
128,False,True,False
129,False,False,False
130,False,False,False
131,False,False,False
132,False,False,False
133,False,True,False
134,True,False,False
135,False,True,False
136,False,False,False
137,False,True,False
138,False,False,False
139,True,False,True
140,False,True,False
141,False,True,False
142,False,True,False
143,False,False,False
144,False,False,False
145,False,False,False
146,False,True,False
147,False,False,False
148,False,False,False
149,False,True,False
150,False,False,False
151,False,True,False
152,False,False,False
153,False,True,False
154,False,False,False
155,False,True,False
156,False,True,False
157,False,True,False
158,False,False,False
159,False,True,False
160,False,False,False
161,False,True,False
162,False,True,False
163,False,True,False
164,False,True,False
165,False,False,False
166,False,False,False
167,False,False,False
168,True,False,False
169,True,False,False
170,True,True,True
171,False,True,False
172,False,True,False
173,False,False,False
174,False,False,False
175,False,False,False
176,False,True,False
177,False,True,False
178,False,True,False
179,False,False,False
180,False,False,False
181,True,True,True
182,False,True,False
183,False,False,False
184,False,False,False
185,False,False,False
186,False,False,False
187,False,False,False
188,False,False,False
189,False,False,False
190,False,True,True
191,False,True,False
192,False,False,False
193,False,True,False
194,False,False,False
195,False,True,False
196,False,False,False
197,False,False,False
198,False,True,False
199,False,True,False
200,True,True,True
201,False,True,False
202,True,True,False
203,True,False,False
204,False,False,True
205,False,True,False
206,False,True,False
207,False,False,False
208,False,True,False
209,False,False,False
210,True,True,False
211,False,True,False
212,False,True,True
213,False,False,False
214,False,True,False
215,False,False,False
216,False,False,False
217,False,True,False
218,False,False,True
219,True,True,True
220,False,False,False
221,True,False,True
